frame,x,y,z,yaw,map_px,map_py,source,route
11.29-panoramic702.0.jpg,2.4500000000000006,19.700000000000003,0.0,0.0,49.00000000000001,38.0,synthetic_map_path,1
11.29-panoramic703.0.jpg,4.958333333333334,19.700000000000003,0.0,0.0,99.16666666666667,38.0,synthetic_map_path,1
11.29-panoramic704.0.jpg,7.466666666666668,19.700000000000003,0.0,0.0,149.33333333333334,38.0,synthetic_map_path,1
11.29-panoramic705.0.jpg,9.975000000000001,19.700000000000003,0.0,0.0,199.5,38.0,synthetic_map_path,1
11.29-panoramic706.0.jpg,12.483333333333334,19.700000000000003,0.0,0.0,249.66666666666666,38.0,synthetic_map_path,1
11.29-panoramic707.0.jpg,14.991666666666669,19.700000000000003,0.0,0.0,299.83333333333337,38.0,synthetic_map_path,1
11.29-panoramic708.0.jpg,17.5,19.700000000000003,0.0,0.0,350.0,38.0,synthetic_map_path,1
11.29-panoramic709.0.jpg,20.008333333333336,19.700000000000003,0.0,0.0,400.1666666666667,38.0,synthetic_map_path,1
11.29-panoramic710.0.jpg,22.516666666666666,19.700000000000003,0.0,0.0,450.3333333333333,38.0,synthetic_map_path,1
11.29-panoramic711.0.jpg,25.025000000000002,19.700000000000003,0.0,0.0,500.5,38.0,synthetic_map_path,1
11.29-panoramic712.0.jpg,27.53333333333334,19.700000000000003,0.0,0.0,550.6666666666667,38.0,synthetic_map_path,1
11.29-panoramic713.0.jpg,30.041666666666664,19.700000000000003,0.0,0.0,600.8333333333333,38.0,synthetic_map_path,1
11.29-panoramic714.0.jpg,32.550000000000004,19.700000000000003,0.0,0.0,651.0,38.0,synthetic_map_path,1
